modzcta,year_month,RentIndex,y_next,target_month
11378,2022-07,2174.7687935538715,2219.99836122992,2022-08
11378,2022-08,2219.99836122992,2244.31744405182,2022-09
11378,2022-09,2244.31744405182,2297.208334948524,2022-10
11378,2022-10,2297.208334948524,2269.5920942704665,2022-11
11378,2022-11,2269.5920942704665,2257.4324648074344,2022-12
11378,2022-12,2257.4324648074344,2263.257201949062,2023-01
11378,2023-01,2263.257201949062,2347.493718620234,2023-02
11378,2023-02,2347.493718620234,2372.270466053976,2023-03
11378,2023-03,2372.270466053976,2343.2295419238826,2023-04
11378,2023-04,2343.2295419238826,2279.613297046139,2023-05
11378,2023-05,2279.613297046139,2283.967644321256,2023-06
11378,2023-06,2283.967644321256,2268.7156126327745,2023-07
11378,2023-07,2268.7156126327745,2301.000937220186,2023-08
11378,2023-08,2301.000937220186,2367.77926387415,2023-09
11378,2023-09,2367.77926387415,2440.350492011538,2023-10
11378,2023-10,2440.350492011538,2460.7115917155606,2023-11
11378,2023-11,2460.7115917155606,2427.272463960456,2023-12
11379,2022-01,1904.545513212262,1933.4689627174105,2022-02
11379,2022-02,1933.4689627174105,1917.5316422364708,2022-03
11379,2022-03,1917.5316422364708,1946.4217769479567,2022-04
11379,2022-04,1946.4217769479567,1996.148374301976,2022-05
11379,2022-05,1996.148374301976,2038.467637371994,2022-06
11379,2022-06,2038.467637371994,2056.036474084545,2022-07
11379,2022-07,2056.036474084545,2054.013170364363,2022-08
11379,2022-08,2054.013170364363,2048.3630053638008,2022-09
11379,2022-09,2048.3630053638008,2058.437372958124,2022-10
11379,2022-10,2058.437372958124,2068.92543573911,2022-11
11379,2022-11,2068.92543573911,2064.338298603589,2022-12
11379,2022-12,2064.338298603589,2681.6029222412753,2023-01
11379,2023-01,2681.6029222412753,2187.8748830450054,2023-02
11379,2023-02,2187.8748830450054,2200.9716743893027,2023-03
11379,2023-03,2200.9716743893027,2236.7897189327687,2023-04
11379,2023-04,2236.7897189327687,2163.408200727683,2023-05
11379,2023-05,2163.408200727683,2210.891953593721,2023-06
11379,2023-06,2210.891953593721,2145.375258786706,2023-07
11379,2023-07,2145.375258786706,2183.3128368652674,2023-08
11379,2023-08,2183.3128368652674,2180.906299950509,2023-09
11379,2023-09,2180.906299950509,2189.1018984188227,2023-10
11379,2023-10,2189.1018984188227,2208.626186037089,2023-11
11379,2023-11,2208.626186037089,2344.647412733455,2023-12
11385,2022-01,2489.3945841641284,2500.4621984091486,2022-02
11385,2022-02,2500.4621984091486,2517.9528574189094,2022-03
11385,2022-03,2517.9528574189094,2563.251168762185,2022-04
11385,2022-04,2563.251168762185,2625.045117651041,2022-05
11385,2022-05,2625.045117651041,2727.8751839422835,2022-06
11385,2022-06,2727.8751839422835,2785.7382394002025,2022-07
11385,2022-07,2785.7382394002025,2846.703707690777,2022-08
11385,2022-08,2846.703707690777,2845.535088058233,2022-09
11385,2022-09,2845.535088058233,2861.853364464346,2022-10
11385,2022-10,2861.853364464346,2836.800459463893,2022-11
11385,2022-11,2836.800459463893,2819.140371664667,2022-12
11385,2022-12,2819.140371664667,2775.88991047753,2023-01
11385,2023-01,2775.88991047753,2766.349987909767,2023-02
11385,2023-02,2766.349987909767,2773.877384538561,2023-03
11385,2023-03,2773.877384538561,2809.715579748646,2023-04
11385,2023-04,2809.715579748646,2845.39980507355,2023-05
11385,2023-05,2845.39980507355,2870.225413815928,2023-06
11385,2023-06,2870.225413815928,2883.999072807785,2023-07
11385,2023-07,2883.999072807785,2898.711834590089,2023-08
11385,2023-08,2898.711834590089,2916.646602807592,2023-09
11385,2023-09,2916.646602807592,2924.395889742942,2023-10
11385,2023-10,2924.395889742942,2919.831559037009,2023-11
11385,2023-11,2919.831559037009,2880.773786114097,2023-12
11411,2022-01,2681.6029222412753,2675.139108881194,2022-02
11411,2022-02,2675.139108881194,2695.575930453343,2022-03
11411,2022-03,2695.575930453343,2710.979783898155,2022-04
